[17:31:55] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:31:55] [main/DEBUG] [FML]: Injecting tracing printstreams for STDOUT/STDERR.
[17:31:55] [main/INFO] [FML]: Forge Mod Loader version 14.23.5.2847 for Minecraft 1.12.2 loading
[17:31:55] [main/INFO] [FML]: Java is Java HotSpot(TM) 64-Bit Server VM, version 1.8.0_321, running on Windows 10:amd64:10.0, installed at C:\Program Files\Java\jre1.8.0_321
[17:31:55] [main/DEBUG] [FML]: Java classpath at launch is:
[17:31:55] [main/DEBUG] [FML]:     forge-1.12.2-14.23.5.2847-universal.jar
[17:31:55] [main/DEBUG] [FML]:     log4jfix/Log4jPatcher-1.0.0.jar
[17:31:55] [main/DEBUG] [FML]: Java library path at launch is:
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\Sun\Java\bin
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\Saved Games\Python\Scripts\
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\Saved Games\Python\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\Common Files\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\ProgramData\Oracle\Java\javapath
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\system32
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\Wbem
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\WindowsPowerShell\v1.0\
[17:31:55] [main/DEBUG] [FML]:     C:\WINDOWS\System32\OpenSSH\
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR
[17:31:55] [main/DEBUG] [FML]:     C:\Program Files\Git\cmd
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\AppData\Local\Microsoft\WindowsApps
[17:31:55] [main/DEBUG] [FML]:     
[17:31:55] [main/DEBUG] [FML]:     C:\Users\unai\AppData\Local\Programs\Microsoft VS Code\bin
[17:31:55] [main/DEBUG] [FML]:     .
[17:31:55] [main/DEBUG] [FML]: Determined Minecraft Libraries Root: C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\libraries
[17:31:55] [main/DEBUG] [FML]: Cleaning up mods folder: .\mods
[17:31:55] [main/DEBUG] [FML]: Examining file: ActuallyAdditions-1.12.2-r151-2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: AppleSkin-mc1.12-1.0.14.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: astralsorcery-1.12.2-1.10.27.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: AutoRegLib-1.3-32.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: BackTools-1.12.2-7.0.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Baubles-1.12-1.5.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: BetterBuildersWands-1.12.2-0.13.2.271+5997513.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: BetterFps-1.4.8.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: bonsaitrees-1.1.4-b170.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Bookshelf-1.12.2-2.3.590.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Botania r1.10-363.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: BrandonsCore-1.12.2-2.4.19.214-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: BuildingGadgets-2.8.4.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Chameleon-1.12-4.1.3.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Chisel-MC1.12.2-1.0.2.45.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Clumps-3.1.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CodeChickenLib-1.12.2-3.2.3.358-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CoFHCore-1.12.2-4.6.6.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CoFHWorld-1.12.2-1.4.0.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Controlling-3.0.10.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CraftingTweaks_1.12.2-8.1.9.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CraftPresence-Forge-1.12.2-Beta-1.7.5.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CraftTweaker2-1.12-4.1.20.594.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: creeperconfetti-1.4.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CTM-MC1.12.2-1.0.2.31.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: CustomMainMenu-MC1.12.2-2.0.9.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: DefaultOptions_1.12.2-9.2.8.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: diethopper-1.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: DocumentYourModMod-2.0.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Draconic-Evolution-1.12.2-2.3.27.353-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: DynamicSurroundings-1.12.2-3.6.1.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ElevatorMod-1.12.2-1.3.14.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: EnderStorage-1.12.2-2.4.6.137-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FastFurnace-1.12.2-1.3.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FastLeafDecay-v14.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FastWorkbench-1.12.2-1.7.3.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: foamfix-0.10.10-1.12.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Forgelin-1.8.4.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ftb-ultimine-1202.3.5.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBAcademyMod-1.1.0.65.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBBackups-1.1.0.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBBanners-1.1.0.12.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBGuides-2.0.0.52.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBLib-5.4.7.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBQuests-1202.9.0.13.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBTutorialMod-1.0.0.11.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: FTBUtilities-5.4.1.130.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: GameStages-1.12.2-2.0.123.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: harvestables-1.2.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Hats-1.12.2-7.1.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: iChunUtil-1.12.2-7.2.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: industrialforegoing-1.12.2-1.12.13-237.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Instrumental-Mobs-1.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: InventoryTweaks-1.63.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ironchest-1.12.2-7.0.72.847.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ItemFilters-1.0.4.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: jei_1.12.2-4.16.1.302.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: jetif-1.12.2-1.5.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: journeymap-1.12.2-5.7.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: JustEnoughResources-1.12.2-0.9.2.60.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: justthetips-1.12-1.0.1.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: KubeJS-forge-1.12.2-1.1.0.65.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: letsencryptcraft-1.10.2-1.2.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: MainMenuScale-1.3.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Mantle-1.12-1.3.3.55.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: MineTogether-1.12.2-2.3.9.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: MobGrindingUtils-0.3.13.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: modnametooltip_1.12.2-1.10.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: modtweaker-4.0.18.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: moreoverlays-1.15.1-mc1.12.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Morpheus-1.12.2-3.5.106.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: MouseTweaks-2.10-mc1.12.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: MTLib-3.0.6.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: NaturesCompass-1.12.2-1.8.5.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Neat 1.4-17.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: NetherPortalFix_1.12.1-5.3.17.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: OreLib-1.12.2-3.6.0.1.jar
[17:31:55] [main/DEBUG] [FML]: Making maven link for org.orecruncher:OreLib:1.12.2-3.6.0.1 in memory to C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\OreLib-1.12.2-3.6.0.1.jar.
[17:31:55] [main/DEBUG] [FML]: Examining file: Patchouli-1.0-21.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: phosphor-forge-mc1.12.2-0.2.7-universal.jar
[17:31:55] [main/DEBUG] [FML]: Making maven link for me.jellysquid.mods:phosphor:1.12.2-0.2.7-SNAPSHOT in memory to C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\phosphor-forge-mc1.12.2-0.2.7-universal.jar.
[17:31:55] [main/DEBUG] [FML]: Examining file: Placebo-1.12.2-1.6.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ProjectIntelligence-1.12.2-1.0.9.28-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Quark-r1.6-179.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: randompatches-1.12.2-1.22.1.7.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: reauth-3.6.0.jar
[17:31:55] [main/DEBUG] [FML]: Making maven link for technicianlp:reauth:3.6.0 in memory to C:\Users\unai\Desktop\Minecraft\Server develop\FTB Academy 1.4 (1.12.2 modpack)\.\mods\reauth-3.6.0.jar.
[17:31:55] [main/DEBUG] [FML]: Examining file: RebornCore-1.12.2-3.19.4.529-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: RedstoneFlux-1.12-2.1.1.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: refinedstorage-1.6.16.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: refinedstorageaddons-0.4.5.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ResourceLoader-MC1.12.1-1.5.3.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ResourceReloader-1.0.2.5.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Rex's-Additional-Structures-1.12.x-(v.2.3.1).jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ServerLevelType-1.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: simplybackpacks-1.4.9.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: SimplyJetpacks2-1.12.2-2.2.16.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: SmoothFont-mc1.12.2-2.1.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: SplashAnimation-0.2.1.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: splashlogofix-1.0.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: StorageDrawers-1.12.2-5.4.2.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: StructureUtils-1.1.0.4.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: TConstruct-1.12.2-2.13.0.183.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: tesla-core-lib-1.12.2-1.0.17.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: Tesslocator-1.1.0.15.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: theoneprobe-1.12-1.4.28.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ThermalCultivation-1.12.2-0.3.6.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ThermalDynamics-1.12.2-2.5.6.1-universal.jar
[17:31:55] [main/DEBUG] [FML]: Examining file: ThermalExpansion-1.12.2-5.5.7.1-universal.jar
